"","Net Hydroelectric Power Generation","Hydroelectricity Installed Capacity","Net Conventional Thermal Electricity Generation ","Conventional Thermal Electricity Installed Capacity ","Total Net Electricity Generation","Total Electricity Installed Capacity","Net Hydroelectric Power Consumption"," Total Net Electricity Consumption"," Total Net Electricity Consumption per Capita (Kilowatt-hou~)"," Energy imports, net (% of energy use)  ","Alternative and nuclear energy (% of total energy use) ","Total Energy Consumption (in Metric Tons)"," Combustible renewables and waste (% of total energy)"," CO2 emissions, industrial (kt)","CO2 emissions - total ('000 mt)","Area(Square Km)","CO2 emissions (metric tons per capita)"," CO2 emissions (kg per 2000 US$ of GDP)"," Population Density (people per sq. km)"
"1971"," 5.000000e+06"," 1.000000e+04"," 1.200000e+09"," 4.500000e+05"," 1.205000e+09"," 4.600000e+05"," 5.000000e+06"," 1.050000e+06"," 1.950000e-01","-1.100000e+02"," 2.500000e-02"," 2.800000e+06"," 2.000000e+01"," 4.500000e+03"," 4.200000e+03"," 1.636100e+05"," 7.800000e-01"," 8.500000e-04"," 3.200000e+01"
"1972"," 6.500000e+06"," 1.200000e+04"," 1.350000e+09"," 4.800000e+05"," 1.356500e+09"," 4.920000e+05"," 6.500000e+06"," 1.180000e+06"," 2.120000e-01","-1.080000e+02"," 3.000000e-02"," 3.050000e+06"," 1.950000e+01"," 5.100000e+03"," 4.750000e+03"," 1.636100e+05"," 8.500000e-01"," 8.300000e-04"," 3.350000e+01"
"1973"," 7.000000e+06"," 1.400000e+04"," 1.480000e+09"," 5.200000e+05"," 1.487000e+09"," 5.340000e+05"," 7.000000e+06"," 1.300000e+06"," 2.260000e-01","-1.050000e+02"," 3.500000e-02"," 3.300000e+06"," 1.900000e+01"," 5.800000e+03"," 5.300000e+03"," 1.636100e+05"," 9.200000e-01"," 8.000000e-04"," 3.500000e+01"
"1974"," 8.000000e+06"," 1.600000e+04"," 1.620000e+09"," 5.700000e+05"," 1.628000e+09"," 5.860000e+05"," 8.000000e+06"," 1.440000e+06"," 2.420000e-01","-1.020000e+02"," 4.000000e-02"," 3.600000e+06"," 1.850000e+01"," 6.400000e+03"," 5.900000e+03"," 1.636100e+05"," 1.000000e+00"," 7.700000e-04"," 3.680000e+01"
"1975"," 9.500000e+06"," 1.800000e+04"," 1.780000e+09"," 6.300000e+05"," 1.789500e+09"," 6.480000e+05"," 9.500000e+06"," 1.600000e+06"," 2.600000e-01","-9.800000e+01"," 4.500000e-02"," 3.950000e+06"," 1.800000e+01"," 7.100000e+03"," 6.500000e+03"," 1.636100e+05"," 1.080000e+00"," 7.500000e-04"," 3.880000e+01"
"1976"," 1.100000e+07"," 2.000000e+04"," 1.950000e+09"," 6.900000e+05"," 1.961000e+09"," 7.100000e+05"," 1.100000e+07"," 1.780000e+06"," 2.800000e-01","-9.400000e+01"," 5.000000e-02"," 4.350000e+06"," 1.750000e+01"," 7.800000e+03"," 7.200000e+03"," 1.636100e+05"," 1.150000e+00"," 7.200000e-04"," 4.100000e+01"
"1977"," 1.350000e+07"," 2.200000e+04"," 2.150000e+09"," 7.500000e+05"," 2.163500e+09"," 7.720000e+05"," 1.350000e+07"," 1.980000e+06"," 3.020000e-01","-8.900000e+01"," 5.800000e-02"," 4.800000e+06"," 1.700000e+01"," 8.600000e+03"," 7.900000e+03"," 1.636100e+05"," 1.230000e+00"," 6.900000e-04"," 4.350000e+01"
"1978"," 1.600000e+07"," 2.400000e+04"," 2.360000e+09"," 8.100000e+05"," 2.376000e+09"," 8.340000e+05"," 1.600000e+07"," 2.200000e+06"," 3.250000e-01","-8.400000e+01"," 6.500000e-02"," 5.250000e+06"," 1.650000e+01"," 9.400000e+03"," 8.700000e+03"," 1.636100e+05"," 1.320000e+00"," 6.600000e-04"," 4.620000e+01"
"1979"," 1.900000e+07"," 2.600000e+04"," 2.600000e+09"," 8.600000e+05"," 2.619000e+09"," 8.860000e+05"," 1.900000e+07"," 2.420000e+06"," 3.460000e-01","-7.800000e+01"," 7.200000e-02"," 5.700000e+06"," 1.580000e+01"," 1.020000e+04"," 9.500000e+03"," 1.636100e+05"," 1.410000e+00"," 6.300000e-04"," 4.900000e+01"
"1980"," 2.300000e+07"," 2.800000e+04"," 2.860000e+09"," 9.100000e+05"," 2.883000e+09"," 9.380000e+05"," 2.300000e+07"," 2.650000e+06"," 3.650000e-01","-7.200000e+01"," 7.800000e-02"," 6.150000e+06"," 1.520000e+01"," 1.100000e+04"," 1.020000e+04"," 1.636100e+05"," 1.500000e+00"," 6.000000e-04"," 5.150000e+01"
